"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 09:07:39 GMT 2024","Thu Oct 17 09:07:40 GMT 2024","359","GO Rest - Update User Data","Negative","GoRest.PUT.Negative.updateDataUser","GoRest.PUT.Negative.updateDataUser","updateUserWithInvalidFormat","updateUserWithInvalidFormat",""
"passed","Thu Oct 17 09:07:33 GMT 2024","Thu Oct 17 09:07:33 GMT 2024","351","GO Rest - User Data Fetch","Positive","GoRest.GET.Positive.userDataFetch","GoRest.GET.Positive.userDataFetch","validGetRequestWithQueryParametersPage","validGetRequestWithQueryParametersPage",""
"passed","Thu Oct 17 09:07:40 GMT 2024","Thu Oct 17 09:07:40 GMT 2024","334","GO Rest - Update User Data","Negative","GoRest.PUT.Negative.updateDataUser","GoRest.PUT.Negative.updateDataUser","updateUserWithInvalidToken","updateUserWithInvalidToken",""
"passed","Thu Oct 17 09:07:35 GMT 2024","Thu Oct 17 09:07:35 GMT 2024","389","GO Rest - Create New User","Positive","GoRest.POST.Positive.createUser","GoRest.POST.Positive.createUser","verifyUserExists","verifyUserExists",""
"passed","Thu Oct 17 09:07:40 GMT 2024","Thu Oct 17 09:07:41 GMT 2024","341","GO Rest - Update User Data","Negative","GoRest.PUT.Negative.updateDataUser","GoRest.PUT.Negative.updateDataUser","updateUserWithUnsupportedValue","updateUserWithUnsupportedValue",""
"passed","Thu Oct 17 09:07:39 GMT 2024","Thu Oct 17 09:07:39 GMT 2024","368","GO Rest - Update User Data","Positive","GoRest.PUT.Positive.updateDataUser","GoRest.PUT.Positive.updateDataUser","validateUpdateData","validateUpdateData",""
"passed","Thu Oct 17 09:07:41 GMT 2024","Thu Oct 17 09:07:41 GMT 2024","322","GO Rest - Update User Data","Negative","GoRest.PUT.Negative.updateDataUser","GoRest.PUT.Negative.updateDataUser","updateUserWithoutToken","updateUserWithoutToken",""
"passed","Thu Oct 17 09:07:42 GMT 2024","Thu Oct 17 09:07:42 GMT 2024","312","GO Rest - Delete User Data","Negative","GoRest.GET.Negative.userDataFetch","GoRest.GET.Negative.userDataFetch","getRequestWithInvalidEndpoint","getRequestWithInvalidEndpoint",""
"passed","Thu Oct 17 09:07:38 GMT 2024","Thu Oct 17 09:07:38 GMT 2024","292","GO Rest - GET Single User Data","Negative","GoRest.GETSingleData.Negative.getUserData","GoRest.GETSingleData.Negative.getUserData","requestWithInvalidEndpoint","requestWithInvalidEndpoint",""
"passed","Thu Oct 17 09:07:39 GMT 2024","Thu Oct 17 09:07:39 GMT 2024","298","GO Rest - Update User Data","Negative","GoRest.PUT.Negative.updateDataUser","GoRest.PUT.Negative.updateDataUser","updateUserWithInvalidEndpoint","updateUserWithInvalidEndpoint",""
"passed","Thu Oct 17 09:07:35 GMT 2024","Thu Oct 17 09:07:36 GMT 2024","337","GO Rest - Create New User","Negative","GoRest.POST.Negative.createUser","GoRest.POST.Negative.createUser","createUserWithInvalidFormat","createUserWithInvalidFormat",""
"passed","Thu Oct 17 09:07:38 GMT 2024","Thu Oct 17 09:07:39 GMT 2024","470","GO Rest - Update User Data","Positive","GoRest.PUT.Positive.updateDataUser","GoRest.PUT.Positive.updateDataUser","requestWithValidData","requestWithValidData",""
"passed","Thu Oct 17 09:07:41 GMT 2024","Thu Oct 17 09:07:41 GMT 2024","521","GO Rest - Delete User Data","Positive","GoRest.DELETE.Positive.deleteUserData","GoRest.DELETE.Positive.deleteUserData","requestWithValidData","requestWithValidData",""
"passed","Thu Oct 17 09:07:32 GMT 2024","Thu Oct 17 09:07:33 GMT 2024","875","GO Rest - User Data Fetch","Positive","GoRest.GET.Positive.userDataFetch","GoRest.GET.Positive.userDataFetch","validGetRequestWithQueryParametersGender","validGetRequestWithQueryParametersGender",""
"passed","Thu Oct 17 09:07:37 GMT 2024","Thu Oct 17 09:07:37 GMT 2024","295","GO Rest - Create New User","Negative","GoRest.POST.Negative.createUser","GoRest.POST.Negative.createUser","createUserWithoutToken","createUserWithoutToken",""
"passed","Thu Oct 17 09:07:36 GMT 2024","Thu Oct 17 09:07:37 GMT 2024","468","GO Rest - Create New User","Negative","GoRest.POST.Negative.createUser","GoRest.POST.Negative.createUser","createUserWithoutData","createUserWithoutData",""
